date,time,sex,case,death,source,iso_a3
2020-05-04,0,female,6426,121,kaggle,KOR
2020-05-05,0,male,4377,131,kaggle,KOR
2020-05-05,0,female,6427,123,kaggle,KOR
2020-05-06,0,male,4379,132,kaggle,KOR
2020-05-06,0,female,6427,123,kaggle,KOR
2020-05-07,0,male,4382,133,kaggle,KOR
2020-05-07,0,female,6428,123,kaggle,KOR
2020-05-08,0,male,4389,133,kaggle,KOR
2020-05-08,0,female,6433,123,kaggle,KOR
2020-05-09,0,male,4406,133,kaggle,KOR
2020-05-09,0,female,6434,123,kaggle,KOR
2020-05-10,0,male,4430,133,kaggle,KOR
2020-05-10,0,female,6444,123,kaggle,KOR
2020-05-11,0,male,4461,133,kaggle,KOR
2020-05-11,0,female,6448,123,kaggle,KOR
2020-05-12,0,male,4481,133,kaggle,KOR
2020-05-12,0,female,6455,125,kaggle,KOR
2020-05-13,0,male,4499,134,kaggle,KOR
2020-05-13,0,female,6463,125,kaggle,KOR
2020-05-14,0,male,4516,135,kaggle,KOR
2020-05-14,0,female,6475,125,kaggle,KOR
2020-05-15,0,male,4532,135,kaggle,KOR
2020-05-15,0,female,6486,125,kaggle,KOR
2020-05-16,0,male,4544,136,kaggle,KOR
2020-05-16,0,female,6493,126,kaggle,KOR
2020-05-17,0,male,4549,136,kaggle,KOR
2020-05-17,0,female,6501,126,kaggle,KOR
2020-05-18,0,male,4560,137,kaggle,KOR
2020-05-18,0,female,6505,126,kaggle,KOR
2020-05-19,0,male,4569,137,kaggle,KOR
2020-05-19,0,female,6509,126,kaggle,KOR
2020-05-20,0,male,4592,137,kaggle,KOR
2020-05-20,0,female,6518,126,kaggle,KOR
2020-05-21,0,male,4601,138,kaggle,KOR
2020-05-21,0,female,6521,126,kaggle,KOR
2020-05-22,0,male,4616,138,kaggle,KOR
2020-05-22,0,female,6526,126,kaggle,KOR
2020-05-23,0,male,4628,140,kaggle,KOR
2020-05-23,0,female,6537,126,kaggle,KOR
2020-05-24,0,male,4643,140,kaggle,KOR
2020-05-24,0,female,6547,126,kaggle,KOR
2020-05-25,0,male,4651,141,kaggle,KOR
2020-05-25,0,female,6555,126,kaggle,KOR
2020-05-26,0,male,4664,142,kaggle,KOR
2020-05-26,0,female,6561,127,kaggle,KOR
2020-05-27,0,male,4680,142,kaggle,KOR
2020-05-27,0,female,6585,127,kaggle,KOR
2020-05-28,0,male,4727,142,kaggle,KOR
2020-05-28,0,female,6617,127,kaggle,KOR
2020-05-29,0,male,4759,142,kaggle,KOR
2020-05-29,0,female,6643,127,kaggle,KOR
2020-05-30,0,male,4780,142,kaggle,KOR
2020-05-30,0,female,6661,127,kaggle,KOR
2020-05-31,0,male,4795,143,kaggle,KOR
2020-05-31,0,female,6673,127,kaggle,KOR
