date,state,fips,case,death,state_iso_a2,longitude,latitude,source,iso_a3
2020-02-07,Illinois,17,2,0,IL,-89.398528,40.633125,nyt,USA
2020-02-07,Massachusetts,25,1,0,MA,-71.382437,42.407211,nyt,USA
2020-02-07,Washington,53,1,0,WA,-120.74013899999999,47.751073999999996,nyt,USA
2020-02-07,Wisconsin,55,1,0,WI,-88.787868,43.784440000000004,nyt,USA
2020-02-08,Arizona,4,1,0,AZ,-111.093731,34.048928000000004,nyt,USA
2020-02-08,California,6,6,0,CA,-119.41793200000001,36.778261,nyt,USA
2020-02-08,Illinois,17,2,0,IL,-89.398528,40.633125,nyt,USA
2020-02-08,Massachusetts,25,1,0,MA,-71.382437,42.407211,nyt,USA
2020-02-08,Washington,53,1,0,WA,-120.74013899999999,47.751073999999996,nyt,USA
2020-02-08,Wisconsin,55,1,0,WI,-88.787868,43.784440000000004,nyt,USA
2020-02-09,Arizona,4,1,0,AZ,-111.093731,34.048928000000004,nyt,USA
2020-02-09,California,6,6,0,CA,-119.41793200000001,36.778261,nyt,USA
2020-02-09,Illinois,17,2,0,IL,-89.398528,40.633125,nyt,USA
2020-02-09,Massachusetts,25,1,0,MA,-71.382437,42.407211,nyt,USA
2020-02-09,Washington,53,1,0,WA,-120.74013899999999,47.751073999999996,nyt,USA
2020-02-09,Wisconsin,55,1,0,WI,-88.787868,43.784440000000004,nyt,USA
2020-02-10,Arizona,4,1,0,AZ,-111.093731,34.048928000000004,nyt,USA
2020-02-10,California,6,7,0,CA,-119.41793200000001,36.778261,nyt,USA
2020-02-10,Illinois,17,2,0,IL,-89.398528,40.633125,nyt,USA
2020-02-10,Massachusetts,25,1,0,MA,-71.382437,42.407211,nyt,USA
2020-02-10,Washington,53,1,0,WA,-120.74013899999999,47.751073999999996,nyt,USA
2020-02-10,Wisconsin,55,1,0,WI,-88.787868,43.784440000000004,nyt,USA
2020-02-11,Arizona,4,1,0,AZ,-111.093731,34.048928000000004,nyt,USA
2020-02-11,California,6,7,0,CA,-119.41793200000001,36.778261,nyt,USA
2020-02-11,Illinois,17,2,0,IL,-89.398528,40.633125,nyt,USA
2020-02-11,Massachusetts,25,1,0,MA,-71.382437,42.407211,nyt,USA
2020-02-11,Washington,53,1,0,WA,-120.74013899999999,47.751073999999996,nyt,USA
2020-02-11,Wisconsin,55,1,0,WI,-88.787868,43.784440000000004,nyt,USA
2020-02-12,Arizona,4,1,0,AZ,-111.093731,34.048928000000004,nyt,USA
2020-02-12,California,6,7,0,CA,-119.41793200000001,36.778261,nyt,USA
2020-02-12,Illinois,17,2,0,IL,-89.398528,40.633125,nyt,USA
